index,Name,Time,Store,Comment
180051,Leah,1/14/19,Walmart,cancel order yet get refund call time keep getting put hold no resolution
180052,Leah,1/14/19,Walmart,meanwhile credit card accrue interest
180053,Leah,1/14/19,Walmart,not pay item never ship
152325,CHAD RIEWSKI,1/14/21,Walmart,just horrible customer service branson hill parkway location act like big deal just match walmart
152326,CHAD RIEWSKI,1/14/21,Walmart,com order store wait hour get just horrible
152327,Tim W.,1/14/21,Walmart,order full size bunk bed
152328,Tim W.,1/14/21,Walmart,wait month get deliver
152329,Tim W.,1/14/21,Walmart,delivery company arrive today sectional futon
152330,Tim W.,1/14/21,Walmart,refuse delivery wait two week say send right item
152331,Tim W.,1/14/21,Walmart,see get hopefully right item time
152333,Marlin Cromwell,1/14/21,Walmart,walmart store locate hendersonville nc complete disaster appearance terrible appear look like warehouse
152334,Marlin Cromwell,1/14/21,Walmart,appear no management location
152335,Marlin Cromwell,1/14/21,Walmart,employee not appear happy
152336,Marlin Cromwell,1/14/21,Walmart,location need serious work attention
152338,whidbey island Frank,1/14/21,Walmart,buy electrical part walmart last couple day burn go return try keep shipping money actually still fight money might just call credit card let take care go wall hole remember not use walmart anymore
152343,taurus dotson,1/14/21,Walmart,order whalen payton flat panel tv st
152344,taurus dotson,1/14/21,Walmart,glass top
152345,taurus dotson,1/14/21,Walmart,get box one glass top crack end
152346,taurus dotson,1/14/21,Walmart,box extremely heavy awkward move
152347,taurus dotson,1/14/21,Walmart,finally get end
152348,taurus dotson,1/14/21,Walmart,continue put together thought would call send pic happen
152349,taurus dotson,1/14/21,Walmart,ask percentage trouble
152350,taurus dotson,1/14/21,Walmart,agent say send whole thing back get percentage would
152351,taurus dotson,1/14/21,Walmart,explain would not send large item back
152352,taurus dotson,1/14/21,Walmart,think little low think least
152353,taurus dotson,1/14/21,Walmart,anything fragile probably never order
152354,taurus dotson,1/14/21,Walmart,too much trouble
152355,taurus dotson,1/14/21,Walmart,luckily gift still hit
152356,taurus dotson,1/14/21,Walmart,come walmart
152357,Lori Nicely,1/14/21,Walmart,watch bank account cause bank hold money day pay
152358,Lori Nicely,1/14/21,Walmart,recharge product ready bring
152359,Lori Nicely,1/14/21,Walmart,go call bank fault not walmart
152360,Lori Nicely,1/14/21,Walmart,walmart rescanne product
152361,Lori Nicely,1/14/21,Walmart,bout ready go news medium
135171,Rauchelle Larmond,1/14/22,Walmart,yesterday pm attempt order grocery online walmart time slot pm use gift card pay order page website freeze order confirmation wait minute load pi open new tab type walmart item still cart
135174,Rauchelle Larmond,1/14/22,Walmart,click place order ask pay type gift card number realize balance show mean card already charge get line customer service explain issue hope would put order refund money gift card customer rep tell nothing could refund card take business day would need reorder
135175,Rauchelle Larmond,1/14/22,Walmart,rep reorder grocery end use remainder money gift card remain sum pay mastercard time slot pm item list dinner night alternate dinner need prepare
135176,Rauchelle Larmond,1/14/22,Walmart,not pay grocery order twice one day
135177,Rauchelle Larmond,1/14/22,Walmart,grocery never show call customer service pm inquire order say nothing could ask speak supervisor tell would wait grocery deliver end day not deliver would call back morning order could make first thing
135178,Rauchelle Larmond,1/14/22,Walmart,point would compensation inconvenience
135179,Rauchelle Larmond,1/14/22,Walmart,single mom three child no money leave gift card still no grocery well not show last night call morning customer service rep explain not deliver next day would reorder grocery ask speak supervisor call walmart ask deliver order number ask anything inconvenience say would send dollar evoucher
135182,Rauchelle Larmond,1/14/22,Walmart,multimillion dollar company just make spend money grocery order twice one day neglect deliver order inconvenience cause offer measley walmart king joke customer service rep rude supervisor robotic literally say thank call walmart good day instead sorry inconvenience give number walmart call afterward find time slot order since rep walmart answer supervisor call hang without give time slot
135183,Rauchelle Larmond,1/14/22,Walmart,walmart one bad reputation customer service well deserved
180037,Jessica,1/15/19,Walmart,purchase holiday dvd collection go watch one disc collection notice cloudy white mark disc
180038,Jessica,1/15/19,Walmart,disc not readable due mark
180039,Jessica,1/15/19,Walmart,go store return tell take back open
180040,Jessica,1/15/19,Walmart,exchange movie
180041,Jessica,1/15/19,Walmart,unfortunate thing holiday not stock exchange
180042,Jessica,1/15/19,Walmart,girl tell nothing could
180043,Jessica,1/15/19,Walmart,extremely unacceptable purchase dvd defective store would â€™ve know defective open
180044,Jessica,1/15/19,Walmart,least could â€™ve let return gift card amount pay
180045,Jessica,1/15/19,Walmart,never purchase another dvd walmart due lack customer concern care
180046,Jessica,1/15/19,Walmart,guess mean loyal customer
152278,Ronald Hussey,1/15/21,Walmart,would like give kenvin five star rate
152279,Ronald Hussey,1/15/21,Walmart,walnew recliner
152280,Ronald Hussey,1/15/21,Walmart,very helpful find replacement part
152282,Mary Thacker,1/15/21,Walmart,beware find unauthorized fraudulent charge credit card walmart east gadsden al
152283,Mary Thacker,1/15/21,Walmart,try contact store
152284,Mary Thacker,1/15/21,Walmart,call day sev time day
152285,Mary Thacker,1/15/21,Walmart,no one would answer customer service pickup delivery
152286,Mary Thacker,1/15/21,Walmart,department credit card info pickup delivery
152288,Mary Thacker,1/15/21,Walmart,not get anyone answer elderly pre exist condition
152289,Mary Thacker,1/15/21,Walmart,always people store without mask use pickup delivery
152290,Mary Thacker,1/15/21,Walmart,never
152292,Sara,1/15/21,Walmart,nightmare delivery charge credit card instead ebt card even though put pin number know didn just forget
152293,Sara,1/15/21,Walmart,fix issue tell need physically return item store rescan item charge correct card
152294,Sara,1/15/21,Walmart,just pay tip delivery
152295,C Caldwell,1/15/21,Walmart,walmart tuesday say would indefinitely suspend contri
152296,C Caldwell,1/15/21,Walmart,ion member congress vote certify result presidential election business come pressure respond mob storm capitol last week
152297,C Caldwell,1/15/21,Walmart,customer walmart year say good bye
152299,David,1/15/21,Walmart,join walmart give try
152300,David,1/15/21,Walmart,order blood pressure monitor deliver store
152301,David,1/15/21,Walmart,unit fail week
152302,David,1/15/21,Walmart,try get refund must store crazy order deliver due covid
152303,David,1/15/21,Walmart,want go store return unbelievably stupid lapse underst
152304,David,1/15/21,Walmart,ing walmart part stick amazon super easy safe return policy plus variety
152305,David,1/15/21,Walmart,need step walmart think customer service
152307,Anna Martinez,1/15/21,Walmart,walmart howell would not let pick package order store apparently pickup close never tell anything
152308,Anna Martinez,1/15/21,Walmart,difference make store open till pm
152309,Anna Martinez,1/15/21,Walmart,pay want package
152311,JDJX,1/15/21,Walmart,place small order walmart deliver home
152312,JDJX,1/15/21,Walmart,pay pay pal offer payment option
152313,JDJX,1/15/21,Walmart,bank account immediately charge
152314,JDJX,1/15/21,Walmart,never receive kind order confirmation etc walmart
152315,JDJX,1/15/21,Walmart,order no even show walmart account page long story short
152316,JDJX,1/15/21,Walmart,walmart call support chat inform walmart didi not even item offer sale tell refer third party vendor
152317,JDJX,1/15/21,Walmart,three day pass still get no order info mail walmart
152318,JDJX,1/15/21,Walmart,four day later finally get mail order info
152322,JDJX,1/15/21,Walmart,not walmart
152323,JDJX,1/15/21,Walmart,amazon not order amazon walmart engage very dishonest business practice get nothing
152324,JDJX,1/15/21,Walmart,lie generic answer walmart via chat phone beware walmart
135164,Lance Lehman,1/15/22,Walmart,no shopping cart available walk store
135165,Lance Lehman,1/15/22,Walmart,second time row happen
135166,Lance Lehman,1/15/22,Walmart,upon check pretty much force use self check station
135167,Lance Lehman,1/15/22,Walmart,problem something gross spill station
135168,Lance Lehman,1/15/22,Walmart,noone even clean just walk around like daydream
135169,Lance Lehman,1/15/22,Walmart,would rate experience following suck
182072,Pursia,1/16/18,Walmart,since walmart not like review reject state inappropriate
182073,Pursia,1/16/18,Walmart,not sure case
182074,Pursia,1/16/18,Walmart,very professional
182075,Pursia,1/16/18,Walmart,guess just not like hear truth
182076,Pursia,1/16/18,Walmart,go way make review know anywhere
182077,Pursia,1/16/18,Walmart,very shady
182078,Pursia,1/16/18,Walmart,say surprised though
182079,Pursia,1/16/18,Walmart,go
182080,Pursia,1/16/18,Walmart,buy toaster walmart online every walmart within distance sell item want
182081,Pursia,1/16/18,Walmart,toaster great
182082,Pursia,1/16/18,Walmart,great little toaster
182083,Pursia,1/16/18,Walmart,great price
182084,Pursia,1/16/18,Walmart,love much get mom one
182085,Pursia,1/16/18,Walmart,issue not toaster
182086,Pursia,1/16/18,Walmart,walmart
182087,Pursia,1/16/18,Walmart,not shop online
182088,Pursia,1/16/18,Walmart,terrible
182089,Pursia,1/16/18,Walmart,problem walmart shipping
182090,Pursia,1/16/18,Walmart,take extremely long time ship
182091,Pursia,1/16/18,Walmart,long payment must time charge ship
182092,Pursia,1/16/18,Walmart,unhappy service fact walmart charge twice
182093,Pursia,1/16/18,Walmart,create hold amount right xmas charge
182094,Pursia,1/16/18,Walmart,mean two hold account
182095,Pursia,1/16/18,Walmart,not right especially right xmas
182096,Pursia,1/16/18,Walmart,wait business day old amount release even receive product give walmart right charge card never company let alone big company like walmart
182097,Pursia,1/16/18,Walmart,get together
182098,ROMINA BROWN,1/16/18,Walmart,excellent stuff ordre food boy get back good stuff
180027,Jeanette Smith-Rowe,1/16/19,Walmart,purchase item online third party seller
180028,Jeanette Smith-Rowe,1/16/19,Walmart,not disclose charge shipping fee restock
180029,Jeanette Smith-Rowe,1/16/19,Walmart,agree waive fee since not disclose
180031,Jeanette Smith-Rowe,1/16/19,Walmart,item br
180032,Jeanette Smith-Rowe,1/16/19,Walmart,new walmart agent
180033,Jeanette Smith-Rowe,1/16/19,Walmart,receive refund seller charge state item damage unable resell
180034,Jeanette Smith-Rowe,1/16/19,Walmart,item damage agent would note tell damage unable return
180035,Jeanette Smith-Rowe,1/16/19,Walmart,happen send walmart seller not responsibility
152236,Deborah Reckart,1/16/21,Walmart,walmart delivery service not reliable
152237,Deborah Reckart,1/16/21,Walmart,amazon deliver hrs
152238,Deborah Reckart,1/16/21,Walmart,willing try walmart schedule deliver seven day ahead friday delivery
152239,Deborah Reckart,1/16/21,Walmart,order never show no call text email
152240,Deborah Reckart,1/16/21,Walmart,call saturday evening representative say not driver
152241,Deborah Reckart,1/16/21,Walmart,cancel order want order sit hrs driver hold money bank hrs
152243,Mika,1/16/21,Walmart,beware delivery service
152244,Mika,1/16/21,Walmart,first express delivery order disaster
152245,Mika,1/16/21,Walmart,suppose arrive hour haven receive yet
152246,Mika,1/16/21,Walmart,customer service no help able speak people country seem outsourced company
152247,Mika,1/16/21,Walmart,difficult time reach anyone walmart
152248,Mika,1/16/21,Walmart,escalate issue no direct communication walmart
152249,Mika,1/16/21,Walmart,first order definitely last
152250,Mika,1/16/21,Walmart,cancel walmart subscription take chance reputable delivery service future
152252,Suki Rohan,1/16/21,Walmart,first order schedule deliver delay
152253,Suki Rohan,1/16/21,Walmart,no communication next call customer service store guy sound like not care
152254,Suki Rohan,1/16/21,Walmart,reschedule driver call phone show alabama caller
152255,Suki Rohan,1/16/21,Walmart,could not find apt show irritation
152256,Suki Rohan,1/16/21,Walmart,really bad service
152257,Suki Rohan,1/16/21,Walmart,think communication look bit professionalism
152259,Heidi W.,1/16/21,Walmart,terrible time deal walmart
152260,Heidi W.,1/16/21,Walmart,com
152261,Heidi W.,1/16/21,Walmart,attempt online grocery order every single item come stock attempt pay
152262,Heidi W.,1/16/21,Walmart,mind trip brick mortar store next day show false
152263,Heidi W.,1/16/21,Walmart,online order pickup store order accept cancel several hour later
152264,Heidi W.,1/16/21,Walmart,last incident involve electronic ship envelope arrived crush
152265,Heidi W.,1/16/21,Walmart,too unreliable too frustrating deal online
152267,Keila Aguiar,1/16/21,Walmart,like shop walmart
152268,Keila Aguiar,1/16/21,Walmart,com
152269,Keila Aguiar,1/16/21,Walmart,bother not always right info product one thing price let get add pick day come tell not cancel order
152271,Laci,1/16/21,Walmart,thing order come time
152272,Laci,1/16/21,Walmart,one problem cancelation
152274,Laci,1/16/21,Walmart,customer service fix immediately
152275,Laci,1/16/21,Walmart,store super rude
152276,Laci,1/16/21,Walmart,online good
135160,Gavyn S,1/16/22,Walmart,horrible grocery experience leave right
135161,Gavyn S,1/16/22,Walmart,seem never item stock
135162,Gavyn S,1/16/22,Walmart,order online become hair pull fiasco not seem get sheet together bad company around just need get rid
135163,Gavyn S,1/16/22,Walmart,stop shop walmart
183009,Wynn,1/17/17,Walmart,not order walmart online
183010,Wynn,1/17/17,Walmart,first order arrive damage replacement never arrive customer service amongst bad ever receive convenience wait refund pick damage item
183011,Wynn,1/17/17,Walmart,irresponsible
183012,Wynn,1/17/17,Walmart,ling order actually end cost money time inconvenience completely disregard customer service absolutely disgusting
183013,Wynn,1/17/17,Walmart,sure spread experience much possible suggest positive not person deal treat like
152196,Amber Smith,1/17/21,Walmart,order cell phone walmart
152197,Amber Smith,1/17/21,Walmart,com
152198,Amber Smith,1/17/21,Walmart,take money account order cancel due stock
152199,Amber Smith,1/17/21,Walmart,try find money not put back account csr hang
152200,Amber Smith,1/17/21,Walmart,finally able online chat representative still unable help
152201,Amber Smith,1/17/21,Walmart,bad service ever receive
152202,Amber Smith,1/17/21,Walmart,very disappointed hope not waste time money company
152204,Lynn,1/17/21,Walmart,use shop walmart religiously
152205,Lynn,1/17/21,Walmart,past year slow today last time put hard earn money towards company incredibly gross try return item assume would come excuse could not return past theme surround individual just suspect tell go company produce product
152206,Lynn,1/17/21,Walmart,let move serious issue wait minute turn force watch hear disgusting language general wording towards elderly gentleman try pick order late walmart behalf finally ask could get refund would shop item refund grant ask fund go available make grocery purchase tell um no sir take approximately day bank process time little upset ask could just go grab item pick order could finalize order system state sir not employee mine correct state no would let shop store pick order state could purchase item wise wait fund available account reply well already refund transaction good day walk away
152207,Lynn,1/17/21,Walmart,embarrassed heart break just enrage idea not treat customer way
152208,Lynn,1/17/21,Walmart,elderly customer clearly struggle
152209,Lynn,1/17/21,Walmart,say disrespectful thing tone would not speak bad enemy not florence ky walmart nor friend family yes may just number
152210,Lynn,1/17/21,Walmart,enough take st
152211,Lynn,1/17/21,Walmart,make difference hopefully walmart take notice corporate level amd make change
152213,Kate Bevington,1/17/21,Walmart,go online tv
152214,Kate Bevington,1/17/21,Walmart,state want
152215,Kate Bevington,1/17/21,Walmart,wal mart st illwater mn say stock
152216,Kate Bevington,1/17/21,Walmart,not stock store contact
152217,Kate Bevington,1/17/21,Walmart,false advertising
152219,nancy burrill,1/17/21,Walmart,always stock
152220,nancy burrill,1/17/21,Walmart,no communication customer service
152221,nancy burrill,1/17/21,Walmart,just cancel order without explanation
152222,nancy burrill,1/17/21,Walmart,not order online walmart anymore always stock
152223,nancy burrill,1/17/21,Walmart,true pick one store
152224,nancy burrill,1/17/21,Walmart,want item go store see
152225,nancy burrill,1/17/21,Walmart,save aggravation
152226,nancy burrill,1/17/21,Walmart,walmart always stock
152227,nancy burrill,1/17/21,Walmart,ridiculous
152228,nancy burrill,1/17/21,Walmart,â€™ll shop target
152229,nancy burrill,1/17/21,Walmart,amazon
152230,nancy burrill,1/17/21,Walmart,don take walmart
152231,nancy burrill,1/17/21,Walmart,waste hard earn money since unable get half try order
152232,nancy burrill,1/17/21,Walmart,amazon never stock get amazon prime benefit amazon prime
152233,nancy burrill,1/17/21,Walmart,don waste time money walmart
152234,nancy burrill,1/17/21,Walmart,com walmart
135052,Tammy,1/17/22,Walmart,place order online
135053,Tammy,1/17/22,Walmart,get email today start deliver
135054,Tammy,1/17/22,Walmart,photo show yellow door face
135055,Tammy,1/17/22,Walmart,nor place
135056,Tammy,1/17/22,Walmart,mine brick
135057,Tammy,1/17/22,Walmart,customer service agent edward say first time call mr
135058,Tammy,1/17/22,Walmart,campbell order info
135059,Tammy,1/17/22,Walmart,state liz miller order
135060,Tammy,1/17/22,Walmart,refuse transfer supervisor hang
135061,Tammy,1/17/22,Walmart,recall
135062,Tammy,1/17/22,Walmart,john walmart agent ask question would not transfer supervisor
135063,Tammy,1/17/22,Walmart,someone use info
135064,Tammy,1/17/22,Walmart,identity theft
135065,Tammy,1/17/22,Walmart,walmart charge card deliver thing another address
135066,Tammy,1/17/22,Walmart,insurance fraud
135067,Tammy,1/17/22,Walmart,not shop online walmart
135068,Tammy,1/17/22,Walmart,bunch crook never shop
135069,Tammy,1/17/22,Walmart,enrage faceenrage faceenrage face
135070,Five Stripes,1/17/22,Walmart,buy christmas present niece walmart
135071,Five Stripes,1/17/22,Walmart,take money nothing ever show
135072,Five Stripes,1/17/22,Walmart,unable claim money back despite leave message
135073,Five Stripes,1/17/22,Walmart,uk no number call
135074,Five Stripes,1/17/22,Walmart,really expensive uk number not afford call
135075,Five Stripes,1/17/22,Walmart,steal america rich family
135077,Tarek Sakhaoui,1/17/22,Walmart,wrong order receive
135078,Tarek Sakhaoui,1/17/22,Walmart,no customer compensation
135079,Tarek Sakhaoui,1/17/22,Walmart,receive order another client not sure keep product right temperature
135080,Tarek Sakhaoui,1/17/22,Walmart,customer support doesn know anything else say
135081,Tarek Sakhaoui,1/17/22,Walmart,sorry
135082,Tarek Sakhaoui,1/17/22,Walmart,problem supervisor
135083,Ken Covert,1/17/22,Walmart,don it
135087,Ken Covert,1/17/22,Walmart,free trial go great
135088,Ken Covert,1/17/22,Walmart,pay service turn crap
135092,Ken Covert,1/17/22,Walmart,say stock item
135093,Ken Covert,1/17/22,Walmart,too lazy go deli find go make order see every item say
135094,Ken Covert,1/17/22,Walmart,nothing
135098,Ken Covert,1/17/22,Walmart,come good part
135102,Ken Covert,1/17/22,Walmart,disabled cancer order gal
135103,Ken Covert,1/17/22,Walmart,milk week pretty much order
135106,Ken Covert,1/17/22,Walmart,go order usual say everything fine
135107,Ken Covert,1/17/22,Walmart,milk
135111,Ken Covert,1/17/22,Walmart,not ebt eligible try charge mc
135115,Ken Covert,1/17/22,Walmart,milk not ebt eligible
135119,Ken Covert,1/17/22,Walmart,bs get refund too
135122,Ken Covert,1/17/22,Walmart,tell non refundable
135123,Ken Covert,1/17/22,Walmart,like tell
135126,Ken Covert,1/17/22,Walmart,not work damn sure refundable refund say would one time deal
135130,Ken Covert,1/17/22,Walmart,like go screw twice
135133,Ken Covert,1/17/22,Walmart,tell someone not really want delivery service
135134,Ken Covert,1/17/22,Walmart,try keep amazon
135135,Ken Covert,1/17/22,Walmart,useless lot seller
135139,Ken Covert,1/17/22,Walmart,beware seller
135142,Ken Covert,1/17/22,Walmart,well one ebay
135145,Ken Covert,1/17/22,Walmart,not compliment either
135146,Ken Covert,1/17/22,Walmart,great trial
135147,Ken Covert,1/17/22,Walmart,get bad get really bad
135148,aseel alyas,1/17/22,Walmart,make purchase online receive not pleased send back back beg november still haven get money back
135149,aseel alyas,1/17/22,Walmart,make several phone call many email nothing yet
135150,aseel alyas,1/17/22,Walmart,make sure don buy anything walmart
135151,aseel alyas,1/17/22,Walmart,com cause run problem
135153,The beast To the moon we go,1/17/22,Walmart,hello name ramzi attouleh account number bussniss name luxury choice walmart terminate accounting saying violate walmart
135154,The beast To the moon we go,1/17/22,Walmart,con policy without give reason explanation try get hold coustomer service month no luck take option account able contact coustomer service freeze account account thous
135155,The beast To the moon we go,1/17/22,Walmart,start refund coustomer right leave without give option appeal chargeback coustomer email company question walmart automatically refund full order minuma order around long month walmart refunding coustomer right leave even though coustomer item deliver still go company policy give coustomer free product free money pocket account show
135156,The beast To the moon we go,1/17/22,Walmart,fund available walmart still haven send money bank account no option contact scamme seller website bad amzaon
135157,The beast To the moon we go,1/17/22,Walmart,con try get away need money send yo bank account immediately next option seek legal action small court claim ask triple amount damge walmart
135158,The beast To the moon we go,1/17/22,Walmart,con cause business life style hope walmart
135159,The beast To the moon we go,1/17/22,Walmart,con see send money immediately bank account take legal action
182067,Daaimah Vazquez,1/18/18,Walmart,walmart just low price online one thing love walmart top notch selection unique professional vendor honestly get selection online store brick mortar
182068,Daaimah Vazquez,1/18/18,Walmart,walmart stay true traditon low match comparable price delivery very quick
182069,Daaimah Vazquez,1/18/18,Walmart,always get order exactly promise sometimes expect great website bell whistle
182070,Daaimah Vazquez,1/18/18,Walmart,offer tried true shopping experience
179998,Sgirl,1/18/19,Walmart,wal mart
179999,Sgirl,1/18/19,Walmart,well say three five
180000,Sgirl,1/18/19,Walmart,want yes
180002,Sgirl,1/18/19,Walmart,tired wait hundred year get check
180003,Sgirl,1/18/19,Walmart,no not use self check hate
180004,Sgirl,1/18/19,Walmart,something never go right use one
180006,Lucy Evans,1/18/19,Walmart,mine damage upon arrival would never turn also hose adapter leak like crazy plug render unusable
180007,Lucy Evans,1/18/19,Walmart,clean part great use soap clothe still smell great totally recommend
180008,Lucy Evans,1/18/19,Walmart,build quality
180011,Lucy Evans,1/18/19,Walmart,not much
180013,Harley Rider,1/18/19,Walmart,try order
180014,Harley Rider,1/18/19,Walmart,cushion
180015,Harley Rider,1/18/19,Walmart,click change color price jump
180017,Harley Rider,1/18/19,Walmart,receive nothing
180018,Harley Rider,1/18/19,Walmart,lip service customer service pull next site show product google
180019,Harley Rider,1/18/19,Walmart,color
180021,Harley Rider,1/18/19,Walmart,contact customer service
180022,Harley Rider,1/18/19,Walmart,refuse match price first page come product nor retailer
180023,Harley Rider,1/18/19,Walmart,lose customer approximately annual purchase make
180024,Harley Rider,1/18/19,Walmart,never shop walmart walmart
180025,Harley Rider,1/18/19,Walmart,com
152095,Kyle Clark,1/18/21,Walmart,could leave no star would
152096,Kyle Clark,1/18/21,Walmart,walmart horrible
152097,Kyle Clark,1/18/21,Walmart,opiod lawsuit bury all way try get successful grocery pickup
152098,Kyle Clark,1/18/21,Walmart,order grocery tell ready saturday
152099,Kyle Clark,1/18/21,Walmart,monday finally able pick endless excuse along
152100,Kyle Clark,1/18/21,Walmart,om employee claim manager later find
152103,Kyle Clark,1/18/21,Walmart,just regular employee posing manager
152104,Kyle Clark,1/18/21,Walmart,get grocery large chunk miss
152105,Kyle Clark,1/18/21,Walmart,call say not receive part order even though show charge bank statement
152106,Kyle Clark,1/18/21,Walmart,never get grocery call number get refund
152107,Kyle Clark,1/18/21,Walmart,take total day imcomplete order walmart not give money back
152109,Kyle Clark,1/18/21,Walmart,emic time
152110,Kyle Clark,1/18/21,Walmart,point many store offer pick service
152111,Kyle Clark,1/18/21,Walmart,look like take business elsewhere never go walmart
152112,Kyle Clark,1/18/21,Walmart,hope guy read absolutely tank weight lawsuit simply well business actually care customer
152114,Rohry Beckham-Pearson,1/18/21,Walmart,remember first walmart super center open area
152115,Rohry Beckham-Pearson,1/18/21,Walmart,hit competition target truly one stop shop service excellent product good produce price
152116,Rohry Beckham-Pearson,1/18/21,Walmart,ional
152117,Rohry Beckham-Pearson,1/18/21,Walmart,however plus year later absolute horrible place shop
152118,Rohry Beckham-Pearson,1/18/21,Walmart,customer service abhorrent
152119,Rohry Beckham-Pearson,1/18/21,Walmart,people work disillusioned believe snide comment no clue help norm
152120,Rohry Beckham-Pearson,1/18/21,Walmart,try return something without receipt nearly impossible
152121,Rohry Beckham-Pearson,1/18/21,Walmart,product food item poor quality
152122,Rohry Beckham-Pearson,1/18/21,Walmart,try fulfill online order pick prof unsatisfye year old run store
152123,Rohry Beckham-Pearson,1/18/21,Walmart,point walmart existence don think target worry competition
152124,Rohry Beckham-Pearson,1/18/21,Walmart,price may bit high â€™ll pay customer service
152126,Ashley Schmidt,1/18/21,Walmart,instore not bad
152127,Ashley Schmidt,1/18/21,Walmart,never order online third parry seller not get order money no matter mant call give customer service not refund money
152128,Jack Bennett,1/18/21,Walmart,walmart dishon company deal
152129,Jack Bennett,1/18/21,Walmart,try like compete large online retailer
152130,Jack Bennett,1/18/21,Walmart,fall flat back side
152131,Jack Bennett,1/18/21,Walmart,purchase xerox printer january
152132,Jack Bennett,1/18/21,Walmart,pay quick take money account
152133,Jack Bennett,1/18/21,Walmart,get immediate email advise order arrive jan jan
152134,Jack Bennett,1/18/21,Walmart,get second email next day advise product ship arrive jan
152135,Jack Bennett,1/18/21,Walmart,today jan
152136,Jack Bennett,1/18/21,Walmart,check tracking number
152137,Jack Bennett,1/18/21,Walmart,show label create
152138,Jack Bennett,1/18/21,Walmart,good never ship
152139,Jack Bennett,1/18/21,Walmart,not possession good
152140,Jack Bennett,1/18/21,Walmart,yet walmart website show good ship
152141,Jack Bennett,1/18/21,Walmart,liar thief
152142,Jack Bennett,1/18/21,Walmart,not deal
152143,Jack Bennett,1/18/21,Walmart,cause inconvenience
152145,Patrick Nakaula,1/18/21,Walmart,order hoverboard november birthday present daughter
152146,Patrick Nakaula,1/18/21,Walmart,black friday
152147,Patrick Nakaula,1/18/21,Walmart,pay shipping state receive dec
152149,Patrick Nakaula,1/18/21,Walmart,call customer service dec th check item state still process
152150,Patrick Nakaula,1/18/21,Walmart,confirm everything good way
152151,Patrick Nakaula,1/18/21,Walmart,call back customer service day dec hasn come
152152,Patrick Nakaula,1/18/21,Walmart,note delay still prepare
152153,Patrick Nakaula,1/18/21,Walmart,confirm no intention cancel order want clarity upon status say prepare
152154,Patrick Nakaula,1/18/21,Walmart,customer service little no no knowledge happen
152155,Patrick Nakaula,1/18/21,Walmart,choose wait
152156,Patrick Nakaula,1/18/21,Walmart,christmas come go
152158,Patrick Nakaula,1/18/21,Walmart,nothing
152159,Patrick Nakaula,1/18/21,Walmart,new year pass
152161,Patrick Nakaula,1/18/21,Walmart,nothing
152162,Patrick Nakaula,1/18/21,Walmart,january th receive mail state cancel order without consent
152163,Patrick Nakaula,1/18/21,Walmart,call customer service send message manager tell receive call within hour
152164,Patrick Nakaula,1/18/21,Walmart,record call like birthday present daughter never come
152165,Patrick Nakaula,1/18/21,Walmart,not associate follow since place order
152167,Patrick Nakaula,1/18/21,Walmart,not compromise give much option
