level_0,index,Name,Time,Store,Comment
273,135080,Tarek Sakhaoui,17/01/2022,Walmart,customer support doesn know anything else say
274,135081,Tarek Sakhaoui,17/01/2022,Walmart,sorry
275,135082,Tarek Sakhaoui,17/01/2022,Walmart,problem supervisor
276,135083,Ken Covert,17/01/2022,Walmart,don it
277,135087,Ken Covert,17/01/2022,Walmart,free trial go great
278,135088,Ken Covert,17/01/2022,Walmart,pay service turn crap
279,135092,Ken Covert,17/01/2022,Walmart,say stock item
280,135093,Ken Covert,17/01/2022,Walmart,too lazy go deli find go make order see every item say
281,135094,Ken Covert,17/01/2022,Walmart,nothing
282,135098,Ken Covert,17/01/2022,Walmart,come good part
283,135102,Ken Covert,17/01/2022,Walmart,disabled cancer order gal
284,135103,Ken Covert,17/01/2022,Walmart,milk week pretty much order
285,135106,Ken Covert,17/01/2022,Walmart,go order usual say everything fine
286,135107,Ken Covert,17/01/2022,Walmart,milk
287,135111,Ken Covert,17/01/2022,Walmart,not ebt eligible try charge mc
288,135115,Ken Covert,17/01/2022,Walmart,milk not ebt eligible
289,135119,Ken Covert,17/01/2022,Walmart,bs get refund too
290,135122,Ken Covert,17/01/2022,Walmart,tell non refundable
291,135123,Ken Covert,17/01/2022,Walmart,like tell
292,135126,Ken Covert,17/01/2022,Walmart,not work damn sure refundable refund say would one time deal
293,135130,Ken Covert,17/01/2022,Walmart,like go screw twice
294,135133,Ken Covert,17/01/2022,Walmart,tell someone not really want delivery service
295,135134,Ken Covert,17/01/2022,Walmart,try keep amazon
296,135135,Ken Covert,17/01/2022,Walmart,useless lot seller
297,135139,Ken Covert,17/01/2022,Walmart,beware seller
298,135142,Ken Covert,17/01/2022,Walmart,well one ebay
299,135145,Ken Covert,17/01/2022,Walmart,not compliment either
300,135146,Ken Covert,17/01/2022,Walmart,great trial
301,135147,Ken Covert,17/01/2022,Walmart,get bad get really bad
302,135148,aseel alyas,17/01/2022,Walmart,make purchase online receive not pleased send back back beg november still haven get money back
303,135149,aseel alyas,17/01/2022,Walmart,make several phone call many email nothing yet
304,135150,aseel alyas,17/01/2022,Walmart,make sure don buy anything walmart
305,135151,aseel alyas,17/01/2022,Walmart,com cause run problem
306,135153,The beast To the moon we go,17/01/2022,Walmart,hello name ramzi attouleh account number bussniss name luxury choice walmart terminate accounting saying violate walmart
307,135154,The beast To the moon we go,17/01/2022,Walmart,con policy without give reason explanation try get hold coustomer service month no luck take option account able contact coustomer service freeze account account thous
308,135155,The beast To the moon we go,17/01/2022,Walmart,start refund coustomer right leave without give option appeal chargeback coustomer email company question walmart automatically refund full order minuma order around long month walmart refunding coustomer right leave even though coustomer item deliver still go company policy give coustomer free product free money pocket account show
309,135156,The beast To the moon we go,17/01/2022,Walmart,fund available walmart still haven send money bank account no option contact scamme seller website bad amzaon
310,135157,The beast To the moon we go,17/01/2022,Walmart,con try get away need money send yo bank account immediately next option seek legal action small court claim ask triple amount damge walmart
311,135158,The beast To the moon we go,17/01/2022,Walmart,con cause business life style hope walmart
312,135159,The beast To the moon we go,17/01/2022,Walmart,con see send money immediately bank account take legal action
313,182067,Daaimah Vazquez,18/01/2018,Walmart,walmart just low price online one thing love walmart top notch selection unique professional vendor honestly get selection online store brick mortar
314,182068,Daaimah Vazquez,18/01/2018,Walmart,walmart stay true traditon low match comparable price delivery very quick
315,182069,Daaimah Vazquez,18/01/2018,Walmart,always get order exactly promise sometimes expect great website bell whistle
316,182070,Daaimah Vazquez,18/01/2018,Walmart,offer tried true shopping experience
317,179998,Sgirl,18/01/2019,Walmart,wal mart
318,179999,Sgirl,18/01/2019,Walmart,well say three five
319,180000,Sgirl,18/01/2019,Walmart,want yes
320,180002,Sgirl,18/01/2019,Walmart,tired wait hundred year get check
321,180003,Sgirl,18/01/2019,Walmart,no not use self check hate
322,180004,Sgirl,18/01/2019,Walmart,something never go right use one
323,180006,Lucy Evans,18/01/2019,Walmart,mine damage upon arrival would never turn also hose adapter leak like crazy plug render unusable
324,180007,Lucy Evans,18/01/2019,Walmart,clean part great use soap clothe still smell great totally recommend
325,180008,Lucy Evans,18/01/2019,Walmart,build quality
326,180011,Lucy Evans,18/01/2019,Walmart,not much
327,180013,Harley Rider,18/01/2019,Walmart,try order
328,180014,Harley Rider,18/01/2019,Walmart,cushion
329,180015,Harley Rider,18/01/2019,Walmart,click change color price jump
330,180017,Harley Rider,18/01/2019,Walmart,receive nothing
331,180018,Harley Rider,18/01/2019,Walmart,lip service customer service pull next site show product google
332,180019,Harley Rider,18/01/2019,Walmart,color
333,180021,Harley Rider,18/01/2019,Walmart,contact customer service
334,180022,Harley Rider,18/01/2019,Walmart,refuse match price first page come product nor retailer
335,180023,Harley Rider,18/01/2019,Walmart,lose customer approximately annual purchase make
336,180024,Harley Rider,18/01/2019,Walmart,never shop walmart walmart
337,180025,Harley Rider,18/01/2019,Walmart,com
338,152095,Kyle Clark,18/01/2021,Walmart,could leave no star would
339,152096,Kyle Clark,18/01/2021,Walmart,walmart horrible
340,152097,Kyle Clark,18/01/2021,Walmart,opiod lawsuit bury all way try get successful grocery pickup
341,152098,Kyle Clark,18/01/2021,Walmart,order grocery tell ready saturday
342,152099,Kyle Clark,18/01/2021,Walmart,monday finally able pick endless excuse along
343,152100,Kyle Clark,18/01/2021,Walmart,om employee claim manager later find
344,152103,Kyle Clark,18/01/2021,Walmart,just regular employee posing manager
345,152104,Kyle Clark,18/01/2021,Walmart,get grocery large chunk miss
346,152105,Kyle Clark,18/01/2021,Walmart,call say not receive part order even though show charge bank statement
347,152106,Kyle Clark,18/01/2021,Walmart,never get grocery call number get refund
348,152107,Kyle Clark,18/01/2021,Walmart,take total day imcomplete order walmart not give money back
349,152109,Kyle Clark,18/01/2021,Walmart,emic time
350,152110,Kyle Clark,18/01/2021,Walmart,point many store offer pick service
351,152111,Kyle Clark,18/01/2021,Walmart,look like take business elsewhere never go walmart
352,152112,Kyle Clark,18/01/2021,Walmart,hope guy read absolutely tank weight lawsuit simply well business actually care customer
353,152114,Rohry Beckham-Pearson,18/01/2021,Walmart,remember first walmart super center open area
354,152115,Rohry Beckham-Pearson,18/01/2021,Walmart,hit competition target truly one stop shop service excellent product good produce price
355,152116,Rohry Beckham-Pearson,18/01/2021,Walmart,ional
356,152117,Rohry Beckham-Pearson,18/01/2021,Walmart,however plus year later absolute horrible place shop
357,152118,Rohry Beckham-Pearson,18/01/2021,Walmart,customer service abhorrent
358,152119,Rohry Beckham-Pearson,18/01/2021,Walmart,people work disillusioned believe snide comment no clue help norm
359,152120,Rohry Beckham-Pearson,18/01/2021,Walmart,try return something without receipt nearly impossible
360,152121,Rohry Beckham-Pearson,18/01/2021,Walmart,product food item poor quality
361,152122,Rohry Beckham-Pearson,18/01/2021,Walmart,try fulfill online order pick prof unsatisfye year old run store
362,152123,Rohry Beckham-Pearson,18/01/2021,Walmart,point walmart existence don think target worry competition
363,152124,Rohry Beckham-Pearson,18/01/2021,Walmart,price may bit high â€™ll pay customer service
364,152126,Ashley Schmidt,18/01/2021,Walmart,instore not bad
365,152127,Ashley Schmidt,18/01/2021,Walmart,never order online third parry seller not get order money no matter mant call give customer service not refund money
