level_0,index,Name,Time,Store,Comment
11,43721,taurus dotson,14/01/2021,Walmart,I ordered a Whalen Payton 3-in-1 Flat Panel TV Stand with glass tops. I got the box and one of the glass tops was cracked on the end. The box was extremely heavy and awkward to move but finally get in end. I continued to have it put together as I thought I would call and send pics of what happen. I asked for a percentage off of $119 for my trouble. The agent said I can send the whole thing back or get a percentage of which would be $5. I explained to her I would not send that large item back but thought $5 was a little low I was thinking at least $20. Anything fragile I will probably never order again. Too much trouble. Luckily the gift was still a hit. Come on Walmart!
12,43722,Lori Nicely,14/01/2021,Walmart,"Watch your bank accounts cause where I bank they hold your money for 3 days and then its paid for BUT they recharge u for the products that u all ready brought. When you go to call them it's your banks fault and not Walmart's but it is Walmart, rescanning the product again. Bout ready to go to news media now."
13,41756,Rauchelle Larmond,14/01/2022,Walmart,"Yesterday at 1pm I attempted to order groceries online from walmart my time slot was between 4-5 pm I was using a gift card to pay for the order the page website froze during the order confirmation after waiting 15 minutes for it to load pI open a new tab typed in walmart and my items were still in my cart ... I clicked place order and it was asking for me to pay again I typed in the gift card number and realized the balance shown meant the card had already been charged I got on the line with customer service explaining the issue hoping they would put the order through or refund the money of the gift card the customer rep told me there was nothing they could do that a refund to the card will take 5 business days and that I would need to reorder. So the rep reordered the groceries for me on his end using the remainder of the money on my gift card and the remaining sum paid for with my mastercard my time slot by now was between 7-8pm the items on my list were for dinner that night so an alternate dinner needed to be prepared. Not only did I have to pay for the same grocery order twice in one day but the groceries never showed up! I called customer service at 9 30pm to inquire about my order and again they said there was nothing they could do I asked to speak to a supervisor whom told me that I would have to wait for the groceries to be delivered by the end of the day and if they're not delivered I would have to call back in the morning so the order could be made first thing in the a.m and at that point there would be some compensation for the inconvenience. I am a single mom of three children now I had no money left on my gift card and still had no groceries, well they did not show up last night and I called this morning and the customer service rep explained that they do not deliver the next day and I would have to reorder my groceries! I asked to speak to a supervisor and he called walmart to ask them to deliver my order number then I asked if there was anything they can do for this inconvenience and he said they would send me a 15 dollar eVoucher ... a multimillion dollar company just made me spend money on the same grocery order twice in one day neglected to deliver the order after all the inconvenience they caused and they offer me a measley $15? walmart is a f@!king joke and their customer service reps are rude and the supervisor was robotic he literally said thank you for calling walmart have a good day instead of sorry for the inconvenience! Then he gave me the number of the walmart for me to call afterward so that I can find out the time slot for my order since the rep at the walmart that answered the supervisors call hung up without giving a time slot. Walmart has one of the worst reputations for customer service and it is well deserved!"
14,46883,Jessica,15/01/2019,Walmart,"I purchased a holiday DVD collection and when I went to watch one of the discs in the collection, I noticed it had a cloudy white mark on the disc. The disc was not readable due to this mark. When I went to the store to return it I was told they canâ€™t take it back if itâ€™s open but they can do an exchange for the same movie. The unfortunate thing was it was after the holidays and they did not have any in stock to exchange. The girl then told me that there was nothing she could do for me. This is extremely unacceptable because I purchased this DVD defective from the store and only wouldâ€™ve known it was defective by opening it. The least they couldâ€™ve done for me was let me return it for a gift card with the amount I had paid. I will never purchase another DVD from Walmart again due to the lack of customer concern and care. I guess $20 means more to them than having a loyal customer(s)."
15,43710,Ronald Hussey,15/01/2021,Walmart,I would like to give Kenvin C a five Star rate. He is from Walnew Recliner. He was very helpful on finding my replacement part.
16,43711,Mary Thacker,15/01/2021,Walmart,"Beware! I found an unauthorized and fraudulent charge on my credit card from WalMart in East Gadsden, AL. Tried to contact store but called 2 days, sev times each day. No one would answer at customer service or at pickup and delivery. The only department that had my credit card info was pickup and delivery. But if you cannot get anyone to answer what do you do? I am elderly with pre-existing conditions. There are always people in store without masks on which is why I used pickup and delivery. NEVER AGAIN."
17,43712,Sara,15/01/2021,Walmart,Nightmare delivery they charged my credit card instead of my ebt card even though I had to put my PIN number in so I know I didnâ€™t just forget. Than to fix the issue I was told I need to physically return all of my items to the store so they can rescan the same items and charge the correct card. After I just paid and tipped for delivery
18,43713,C Caldwell,15/01/2021,Walmart,"Walmart on Tuesday said it would â€œindefinitelyâ€ suspend contributions to members of Congress who voted against certifying the results of the presidential election, as businesses come under pressure to respond after a mob stormed the Capitol last week. After being a customer of Walmart for 20 years I am saying good bye."
19,43714,David,15/01/2021,Walmart,"Joined Walmart+ to give it a try. Ordered a Blood Pressure Monitor and had it delivered from the store. Unit failed after a week. Tried to get a refund and I must do it in store????? Crazy, I ordered to have it delivered due to covid but they want me to go into the store to return?? Unbelievably stupid lapse of understanding on Walmarts part! I will stick to Amazon and there super easy and safe return policy plus more variety. Need to step it up Walmart and think of the customer service."
20,43715,Anna Martinez,15/01/2021,Walmart,"The walmart in howell would not let me pick up my package I order to their store, because apparently they pickups close at 8, which I was never told anything about, but what difference does it make if the store is open till 11pm. I paid and I want my package."
21,43716,JDJX,15/01/2021,Walmart,"I placed a small order with walmart to be delivered to my home . I paid with pay pal which they offered as a payment option. My bank account was immediately charged. I never received any kind of order confirmation etc from walmart. The order did no even show up in my walmart account page Long story short. through walmart so- called support chat I was informed that walmart didi not even have the item offered for sale and i was told that it was referred to a third party vendor. Three days passed and I still got no order info or e-mail from walmart. Four days later, I finally got an e-mail with order info.... not from walmart but from Amazon I did not order from Amazon Walmart is engaged in very dishonest and business practices and i got nothing but lies and generic answers from walmart via chat and by phone so beware of walmart"
22,41755,Lance Lehman,15/01/2022,Walmart,"Again, no shopping carts available when you walk into the store. Second time in a row this has happened. Upon check out your pretty much forced to use the self check out stations. The problem I had there was that something gross was spilled on the station. Noone even cleaned it off, just walked around like they were daydreaming. I would rate my experience as the following: it sucked."
23,47126,Pursia,16/01/2018,Walmart,"Since Walmart didn't like my review and rejected it stating it was inappropriate. Not sure how that's the case. I was very professional. Guess they just don't like hearing the truth. So now I'm going out of my way to make my review known anywhere I can. Very shady of them to do that. Can't say I'm surprised though. Here we go.  I bought a toaster from walmart online only because every walmart within distance was sold out of the item I wanted. The toaster was great. Great little Toaster. Great price. Loved it so much I got my mom one. My issue is not with the toaster but Walmart. Do not shop online!!!. They are terrible. The problem I had was with walmart and shipping. They took an extremely long time to ship. So long that my payment must have ""timed out"" because they had to charge me again before it shipped. I was unhappy with the service and the fact that walmart charged me twice. It created a hold of the amount right before xmas and charged it again. Which means they had two holds on my account. That's not right especially right before xmas. I had to wait 7-10 business days for the old amount to be released before I even received any product! What gives walmart the right to charge my card at their will? I have never had a company do that before let alone a big company like walmart. Get it together!"
24,47127,ROMINA BROWN,16/01/2018,Walmart,"EXCELLENT STUFF, I ORDRED FOOD THROUGH MY BOY AND I GOT IT BACK WITH GOOD STUFF"
25,46882,Jeanette Smith-Rowe,16/01/2019,Walmart,"I purchased item online from third party seller. They don't disclose that they will charge you shipping fees and restocking. They agreed to waive those fees, since it is not disclosed. I handed item (brand new) to Walmart agent. When I received my refund the seller charged me $12, stating item was damaged and unable to resell. If the item was damaged, the agent would have noted it or told me it was damaged and unable to return. What happened between sending it from Walmart to seller should not be my responsibility."
26,43704,Deborah Reckart,16/01/2021,Walmart,"Walmart delivery service the not reliable. Amazon delivers in 2 hrs but was willing to try Walmart, Scheduled deliver seven days ahead for a Friday delivery. Order never showed up - no call, text or email. When called Saturday evening representative said they didn't have a driver. Canceled order, Who wants order that has been sitting 24hrs for a driver? Hold for money at the bank for 24-48 hrs."
27,43705,Mika,16/01/2021,Walmart,"Beware of the delivery service. My first express delivery order has been a disaster. It was supposed to arrive in 2 hours and I havenâ€™t received it yet. Customer service is no help, Iâ€™ve only been able to speak people out of the country, which seems to be an outsourced company. They have had a difficult time themselves reaching anyone at Walmart. All they can do is escalate the issue and I have had no direct communication from Walmart at all. This was my first order and will definitely be the last. Iâ€™m cancelling the Walmart+ subscription and will take my chances with a more reputable delivery service in the future."
28,43706,Suki Rohan,16/01/2021,Walmart,"First of all, my order was scheduled to be delivered on 1/15/21 the was a delay, but no communication! Next, when I called the customer service at the store, the guy sounded like he didn't care. He rescheduled and now the driver called me from his phone that showed Alabama on the caller ID. And he could not find my apt and showed his irritation to me. This is a really bad service. I think communication can be looked at again and a bit more professionalism."
29,43707,Heidi W.,16/01/2021,Walmart,"I've been having a terrible time dealing with Walmart.com. I attempted an online grocery order, only to have every single item come up as out of stock when I attempted to pay. (Mind you, a trip to the brick-and-mortar store the next day showed this to be false.) I had an online order/pickup at store order accepted, only to be canceled several hours later. The last incident involved electronics, which were shipped in an ENVELOPE, and arrived crushed. Too unreliable, too frustrating to deal with online."
30,43708,Keila Aguiar,16/01/2021,Walmart,"I like shopping in walmart.com but it bothers me that they don't always have the right info on products, one of the things are prices or they let you get it and you add it for pick up and when the day come they tell you they don't have it and cancel the order."
31,43709,Laci,16/01/2021,Walmart,The things I've order have come on time. Only had one problem with a cancelation. But customer service fixed it immediately. In store they are super rude but online has been good.
32,41754,Gavyn S,16/01/2022,Walmart,Horrible Grocery experiences left and right. They seem to never have our items in stock. Ordering Online has become a hair pulling fiasco because they cant seem to get their sheet together! bad company all around we just need to get rid of them. stop shopping at walmart
33,47231,Wynn,17/01/2017,Walmart,"DO NOT order from Walmart online. After the first order arriving damaged and the replacement never arriving, the customer service was amongst the WORSE I HAVE EVER RECEIVED and now at their convenience I have to wait for my 1k refund and for them to pick up the damaged item. The irresponsible handling of this order actually ended up costing me money and time and the inconvenience that was completely disregarded by their customer service is absolutely disgusting. I will be sure to spread this experience as much as possible and I suggest others do the same as I am positive I am not the only person that has had dealt with and been treated like this."
34,43700,Amber Smith,17/01/2021,Walmart,I ordered 2 cell phones on Walmart.com. After taking through money out of my account the order was cancelled due to being out of stock. When I tried to find out why the money wasn't put back in my account I had 2 csr hang up on me. Finally I was able to do an online chat where the representative was still unable to help me. Worst service I have ever received. Very disappointed and hope that others will not waste their time or money with this company.
35,43701,Lynn,17/01/2021,Walmart,"I used to shop at Walmart religiously but in the past year I have slowed down and today will be the last time I will put my hard earned money towards a Company that is so incredibly gross, I was trying to return an item which I assumed they would come up with an excuse as to why they could not return, (this has been the past theme for myself and all surrounding individuals) just as I suspected they told me I had to go through the company that produced the product. Now letâ€™s move on to the more serious issue, as I waited my 25 minutes until my turn I was forced to watch and hear some of the most disgusting language and general wording towards an elderly gentleman that was trying to pick up an order that was late on Walmartâ€™s behalf, until he finally asked if he could get a refund and he would shop the items himself, the refund was granted and then as he asked if the funds was going to be available for him to make his grocery purchase he was told â€œUm no sir it takes approximately 3 days for your bank to processâ€ at which time he now was a little upset and asked if he could just go and grab the items on the pick up order and then they could finalize the order in the system and she â€œstated sir you are not an employee of mine correctâ€? He stated no and â€œwhy would I let you shop my store under a pick up order thanâ€ be stated so I could purchase my items because other wise I will have to wait for the funds to be available in my account and she replies well Iâ€™ve already refunded you so the transaction is done have a good day and walked away from him. I was so embarrassed, heart broken and just over all enraged at the idea that not only has she treated a customer in such a way but an elderly customer that was clearly struggling. She said some of the most disrespectful things to him in a tone that I would not speak to my worst enemy in, I will not be in Florence ky Walmart again, nor will my friends or family after this, yes we may just be a number but if enough of us take a stand we can make a difference and hopefully Walmart will take notice at the corporate level amd make some changes."
36,43702,Kate Bevington,17/01/2021,Walmart,I went online for tvs. Stated for the I want is 184. at Wal-Mart in St illwater Mn says in stock. It is Not in stock in any store I've contacted. FALSE ADVERTISING.
37,43703,nancy burrill,17/01/2021,Walmart,Always out of stock. No communication from customer service. Just cancels the order without explanation. I will not order online with Walmart anymore because they are always out of stock. The same is true for pick-up from one of their stores. If you want an item go in the store and see if they have it in there. Save yourself the aggravation. Walmart is always out of stock. Itâ€™s ridiculous. Iâ€™ll shop at Target. And Amazon. Donâ€™t take out the Walmart+. Itâ€™s a waste of your hard earned money since your unable to get half of what you try to order. Amazon is never out of stock and you can get Amazon Prime and other benefits from Amazon Prime. Donâ€™t waste your time and money with Walmart.com and Walmart+.
38,41748,Tammy,17/01/2022,Walmart,I placed an order online. Got an email today starting it was delivered. Photo showed a yellow door facing. Nor my place. Mine is brick. Customer service agent- Edward said the first time I called a Mr. Campbell was on the order with all My info. Then he stated Liz Miller was on the order. Refused to transfer me to a supervisor & He hung up on me. So I recalled. and John Walmart agent asked same questions wouldn't transfer me to supervisor. Someone is using My info. Which is Identity Theft. Walmart charging my card and delivering things to another address. Insurance fraud. DO NOT SHOP ONLINE WALMART. THEY ARE A BUNCH OF CROOKS!!!!! I WILL NEVER SHOP THERE AGAIN. ðŸ˜¡ðŸ˜¡ðŸ˜¡
39,41749,Five Stripes,17/01/2022,Walmart,"I bought a Christmas present for my niece from Walmart. They took my money and nothing ever showed up. I am unable to claim my money back, despite leaving messages. I am in the UK and there is no number to call except a really expensive (from the UK) 1-800 number which I can't afford to call. $40 stolen by America's richest family."
40,41750,Tarek Sakhaoui,17/01/2022,Walmart,Wrong order received. No customer compensation. I will receive an order from another clients that I am not sure will keep my products at the right temperature. Customer support doesnâ€™t know anything else to say except sorry. Same problem with the supervisor
41,41751,Ken Covert,17/01/2022,Walmart,"DON'T! DO! IT!....The free trial went great, but after I paid for it the service turned into CRAP!.... They said they were out of stock for items they had, but were too lazy to go to the deli to find them and I went there after I made an order and saw every item they said was out! But that's nothing.... Here comes the best part.... I'm disabled and have cancer and I order 4 to 5 gal. of milk a week and it's pretty much all my order...I went to order my usual and it said everything was fine, except for the milk....Now it's not EBT eligible and they are trying to charge it to my MC....MILK NOT EBT ELIGIBLE!!!!!?????....BS!!! and you CAN! get a refund too!... They'll tell you it's non-refundable, but like I told them...IF IT'S NOT WORKING, IT'S DAMN SURE REFUNDABLE! And they refunded it and said it would be a one time deal.... LIKE I'M GOING TO SCREW MYSELF TWICE!...I was told by someone that they don't really want to do a delivery service, but they are trying to keep up with Amazon. They are useless and so are a lot of their sellers....BEWARE! of their sellers... They have better one's on eBay! ... and that's not a compliment either. It was great on the trial, but when it got bad,it got REALLY! bad!"
42,41752,aseel alyas,17/01/2022,Walmart,I made a purchase online and I received it was not pleased with it so I send it back and this was back in begging in November 2021 and still havenâ€™t got my money back. I have made Several phone calls so many emails and nothing yet. Make sure you donâ€™t Buy anything from Walmart.com cause you will run it to same problem as I did.
43,41753,The beast To the moon we go,17/01/2022,Walmart,"Hello my name is ramzi attouleh account number bussniss name luxury choice, Walmart terminated my accounting saying I violated Walmart.con policy without giving me any reason or explanation, I been trying to get hold of Coustomer service over 3 months I have no luck they took off the option from my account to be able to contact Coustomer service , they froze my account, my account had $130,000,000 thousand in it , they start refunding Coustomer right and left without giving me the option to appeal for chargeback , any Coustomer was emailing our company for any question Walmart was automatically refunding them the full order , the minuma order we had around $500+ after long 4 months of Walmart refunding Coustomer right and left even though the Coustomer had the item and it was delivered to them , they still went against any company policy and give there Coustomer free product and free money from our pocket , now our account shows we have $68,168.76 fund available, Walmart still havenâ€™t send us any money to our bank account, and we have no option of contacting them , there scamming seller on there website there doing it worse than amzaon.con and trying to get away with it , I need my money to be send yo my bank account immediately, of our next option is to seek legal action small court claim and ask for triple of the amount because Of all the damged Walmart.con has caused us and our business and life style I hope Walmart.con see this and send our money immediately to our bank account before we take legal action"
44,47125,Daaimah Vazquez,18/01/2018,Walmart,"Walmart does have just about the lowest prices online! One of the things I love most about Walmart is the top-notch selection of unique professional vendors, you honestly get more selection from their online stores than their bricks and mortar. Walmart stays true to traditon with low and matching comparable prices, and the delivery is very quick. I have always gotten my order exactly has promised, and sometimes before I expect it! Its a great website with all the bells and whistles. It offers a tried and true shopping experience."
45,46879,Sgirl,18/01/2019,Walmart,Wal-Mart. Well I have to say a three out of a five. Do they have what I want yes. But tired of waiting a hundred years to get checked. No I'm not using self check out I hate it. Something never goes right when I use one.
46,46880,Lucy Evans,18/01/2019,Walmart,"Mine was damaged upon arrival, it would never turn off, also the hose adapter leaked like crazy so I had to plug it and render it unusable.  The cleaning part was great, I used 1/4 of the soap and my clothes still smelled great; I totally recommend it, but the build quality... not so much."
47,46881,Harley Rider,18/01/2019,Walmart,"Tried to order a $16.99 cushion, but when I clicked on to change color price jumped 25% to $20.99. After receiving nothing but lip service from Customer Service I pulled up the next site shown for the product on Google. All colors were $16.99. Contacted Customer Service again. They refused to match THEIR OWN PRICE on the first page that comes up for the product nor the other retailer's. For $4 they've now lost me as a customer and the approximately $5,000 in annual purchases I make with them. I'll NEVER shop at Walmart or Walmart.com again."
48,43692,Kyle Clark,18/01/2021,Walmart,"If I could leave no stars at all I would. Walmart is horrible. From the opiod lawsuit burying them alllllll the way down to trying to get a successful grocery pickup. Ordered groceries, was told will be ready on Saturday. Its now Monday and I am finally able to pick them up after endless excuses along with a random employee claiming to be a manager that was later found out to be...just a regular employee posing as a manager. Got our groceries and a large chunk of them were missing. Called them and they said they didnt receive that part of the order even though I show the charge on my bank statement. So we never got the groceries and then had to call and 1800 number to get a refund. This has taken a total of 3 days with an imcomplete order and Walmart not giving our money back. Its pandemic time. At this point many stores are offering pick up services. Looks like I'll be taking my business elsewhere and never going to Walmart again. I hope you guys are reading this and absolutely tank under the weight of lawsuits and simply better businesses that actually care about their customers."
49,43693,Rohry Beckham-Pearson,18/01/2021,Walmart,"I remember when the first Walmart Super Centers opened in the 1980â€™s in my area. They were a hit, competition for Target and truly a one stop shop! The service was excellent, the products were good (produce), and the prices were exceptional. However, 20 plus years later what an absolute horrible place to shop. The customer service is abhorrent. The people working there are disillusioned, believing snide comments and no clue how to help you is the norm. Trying to return something without a receipt is nearly impossible. The products and food items are poor in quality. Trying to fulfill an online order for pick up proves to be as unsatisfying as having a 10 year old â€œrun to the storeâ€ for you. At this point in Walmarts existence I donâ€™t think Target has to worry about competition. While their prices may be a bit higher, Iâ€™ll pay more for the customer service."
50,43694,Ashley Schmidt,18/01/2021,Walmart,Instore not so bad but NEVER order online if its a third parry seller you will not get your order and will be out the money as no matter how mant calls you give customer service they will not refund the money
51,43695,Jack Bennett,18/01/2021,Walmart,"Walmart is the most dishonest company I have dealt with. They are trying to be like and compete with the largest online retailer but they have fallen flat on their back sides. I purchased a Xerox printer on January 8. I paid for it and they were quick to take the money from my account. I got an immediate email advising that my order will arrive between Jan 12 and Jan 15. I got a second email the next day advising that my product has been shipped and it will arrive on Jan 15. Today is Jan 18. I checked the tracking number. UPS shows that the label was created but the goods was never shipped. UPS does not have possession of the goods. Yet Walmart's website shows that the goods were shipped. Liars, thieves. DO NOT DEAL WITH THEM. It will only cause you inconvenience."
52,43696,Patrick Nakaula,18/01/2021,Walmart,"I ordered a hoverboard on November 25, 2020 a birthday present for my daughter. This is before Black Friday. I paid $30 for shipping it stated I should receive by Dec.12. I call customer service on Dec 6th, to check on my item because it states that itâ€™s still being processed. She confirms that everything is good and it should be on its way. I call back Customer service a few days after the Dec 12, because it hasnâ€™t come in. Itâ€™s noted delayed, and itâ€™s still being prepared. I confirm with them that I have no intention of canceling my order, and that I wanted clarity upon the status, because it says itâ€™s being prepared. Customer service has little no no knowledge of what is happening. So I choose to wait. Christmas comes and goes.. nothing. New Years pass.. nothing. January 11th 2021 I receive an e-mail stating that they have canceled my order, this is without my consent. I call customer service, he sends a message to his manager, and tells me that I will receive a call within 48 hours. For the record that call, was like the birthday present for my daughter, it never came. Not once did any Associate follow up with me since I placed my order. But they did not compromise with me, or give me much option. But they have the audacity to cancel my order without any consent. This will be my first and last time to ever go to Walmart.com a truly horrible experience. And it has discouraged me, to shop at any Walmart."
53,43697,Amber Lamb,18/01/2021,Walmart,"I gave it only one star cause thatâ€™s the lowest that I could give, this whole experience has been sh** I ordered a printer for Walmart.com I will never again order through Walmart.com I still havenâ€™t gotten my printer they steady giving me the run around if my printer isnâ€™t here by today I will be canceling my order all together from now on I will deal with Amazon."
54,43698,Sue M,18/01/2021,Walmart,"If you shop on Walmart.com they will hold your money in your account ""so they can make sure you have enough"" then they cancel the order for ""safety"" without explaining why and the money is on hold in my bank Took a week. They blame the bank. They said its what all stores do. NO! No other stores do that. Talking to customer service is even more aggravating. They say they will escalate the issue then a ""manager"" emails me, says there was an error that happened when my complaint came thru and wanted me to repeat the issue to her from the beginning. Worst customer service ever! I will never shop online with them again"
55,43699,Felix,18/01/2021,Walmart,"Someone told me that Walmart had good prices on their eyeglasses. I went to Stuart on Federal HWY and purchased a pair of glasses. From the first day, I got them I notice that the lenses were cheap glass. A few days later the glass had scratches. I couldn't understand why. Then I notice more scratches and now I can't use the glasses anymore. Garbage, don't waste your money there $405.00 for garbage."
56,41747,Busaba,18/01/2022,Walmart,"I was @ Plymouth Wal-Mart this morning to return a phone case I purchase over the weekend, the case didn't fit, I was told the customer services dep wasn't open till 8 am, I said to the cashier I will get what I needs and be back later to return my phone case, as I enter the store in the front I saw a big case of Nugenix vitamin so I grab a bottle due to a great price ( so I thought) I got to the register the price was double, I called over the cashier who was very nice, she said she will have a manger do a price check, came by a woman and a man, the man said to me you didn't see the price? it's on the other size of the box? it said $ 27.88? you should have seen it? ( btw it's rang up for 28.88) why didn't you? I am not going to override it! why should I not my problem! wow! what are you talking about? why would I going all the way to the back of the box where the merchandise wasn't even sitting there? are you an idiot? do you know how to put out products? have you been a manger before? or are you an idiot? why would I walk around a box where the merchandise wasn't even sitting there for a price? doesn't even make sense? Please explained that to me? What a rude person"
57,47124,Pat Obrien,19/01/2018,Walmart,i love walmart we are at walmart everyday
58,46878,Jerry,19/01/2019,Walmart,"Ordered a tail light for a lexus on December 27th. Still had not come by January 18th. First got their supplier; they gave me double talk. The parcel was promised Jan 15 but it was kicking around San Francisco, San Pablo and Sacramento from Jan 3rd through Jan 4th and reported transferred to the post office Jan 4th then the trail went dead. Contacted Walmart again today on their useful chat feature. First they blamed the contracted supplier. I said, ""but I bought it from Walmart!"" Then they promised to escalate my problem and i would get a call next day. On Saturday? Huh? I was then passed to a resolution specialist who offered a refund, but she would not contact the supplier to have a replacement expedited to me in Hawaii. So I accepted the refund (which she said I might receive in five days) and ordered a replacement from Amazon within 10 minutes which will arrive January 31st. I have some faith that Amazon will not try to give me double talk and a runaround. Walmart should have just gotten me replacement product. I can see i was a fool to order from Walmart. I won't make that mistake again. They didn't care about me, and they don't care about you. The can be counted on to do just the legal minimum and not one dollar more. Somewhere deep within the bowels of Walmart someone must know that when you burn out a customer, he/she is going to contaminate on average ten potential customers. This is a well known statistic. Get your customer the product they ordered, offer them a gift card, do something...but don't just hang up on them! My order number was 6321882-933723 dated Dec 27, 2018. You are not going to threaten Amazon with this kind of cheap-jack operation."
59,41745,Robert Pryor j,19/01/2022,Walmart,"I placed 2 orders online, and they canceled. W no further The second one they pieced it out.ugh The food was for 95th surprise party thst they ruined"
60,41746,James Smallwood,19/01/2022,Walmart,"Bought Goodyear tires through Walmart online. Was sent tires that were manufactured 4 years prior to installing on the car. Tires went bad after 12,000 miles (rated for 60,000 miles). Walmart says they have a 90 day return policy. How does that apply to tires. Customer service is horrible, can't understand person on the phone. Was told that if tires were bought at Walmart Tire Center with tire hazard they offer there they would have prorated with new tires. These tires were not available through the Walmart store. Very displeased with how this was handled but I guess Walmart doesn't really care as shown by their reaction to this matter. Will go elsewhere for our tires."
61,41739,David Beers,20/01/2022,Walmart,"Ordered 2 rotating party lights. One was fine the other had already been opened, wall adapter was missing and the light was broken into 2 pieces..... Come on Walmart you're people didn't notice this? ? ? Had to be a return. Totally unacceptable. Done ordering from Walmart website."
62,41740,David B. Frank,20/01/2022,Walmart,"I got my vaccines - both of them at Walmart over a year ago. I am now trying to access the digital record so I can travel for a job and had to create special permission for the pharmacy. I respect that, HOWEVER!!!!! They are using some 3rd party ID verification service that is preventing me from creating an account since ""THEY"" say I didn't answer the questions correctly. Best I can tell they are denying me access to my records based on a 3rd PARTY DATABASE which looks to be CROSS-REFERENCING WRONG and/or OUTDATED INFORMATION!! EVEN worse and more concerning are the questions they are asking me appear to have come from questions you are asked when creating a security passcode. This is beyond invasive and unethical. I am so PISSED OFF, I don't know where to start. They offer NO ONLINE HELP and their phones are computer operated which prevents you from accessing anyone to help me access my records which are A) rightfully mine and B) I need them to work!!!!!! I AM SO DONE WITH COMPLIANCE!!!!!  Give me my FREEDOM BACK YOU %!#$^!$^!#^!!!!"
63,41741,Jonathan Singer,20/01/2022,Walmart,"I ordered a TV at walmart.com on 1/14 with a brand new credit card that had never been used before. Walmart cancelled the order without explanation on 1/15. On 1/16, a charge for $321.24 was charged to my card by Walmart. My bank investigated and found out the charge was not made by an individual, by Walmart itself! Walmart committed straight up fraud by charging $321.24 to my card. I sent an email to Doug McMillon the CEO and received no reply."
64,41742,jeremy,20/01/2022,Walmart,"finally was able to order a ps5 . only to have walmart cancel my order due to ""quantity limits"" when i only ordered 1 , which was the allowed limit. Walmart has continually oversold this item and canceled orders, with todays technology , in no way should a retailor of this size be this inept at inventory control."
